quote,base,borza,volume
USD,BTC,Bitfinex,251698000.0
USD,BTC,Bitstamp,106097000.0
EUR,BTC,Kraken,86459700.0
BTC,ETH,Poloniex,82830200.0
USDT,BTC,Poloniex,77299900.0
USD,BTC,Kraken,56847800.0
USDT,BTC,Bittrex,48186900.0
BTC,ETH,Bittrex,36120300.0
BTC,ETH,Kraken,23194800.0
BTC,ETH,Bitfinex,21952700.0
BTC,XRP,Poloniex,21773400.0
EUR,BTC,Bitstamp,14853100.0
BTC,XRP,Bittrex,5842050.0
BTC,XRP,Bitstamp,2098870.0
BTC,XRP,Kraken,1743710.0
BTC,XRP,Bitfinex,1330350.0
USD,ETH,Bitfinex,51032400.0
EUR,ETH,Kraken,21138200.0
USD,ETH,Kraken,19569200.0
USDT,ETH,Poloniex,15176200.0
USDT,ETH,Bittrex,4755570.0
ETH,XRP,Bittrex,261039.0
